0	0.200339 0.931012 0.285464 -0.689365
1	0.513859 0.909619 0.348804 -0.329911
2	0.220539 1.09661 0.161531 -0.621415
3	0.0591839 0.43559 0.688594 -1.03164
4	0.130965 1.31155 0.380458 -0.578007
5	0.0340184 0.633967 0.206466 -1.09628
6	0.127791 0.987956 0.841474 -0.600114
7	0.0952027 0.357971 0.109029 -1.26061
8	0.138029 0.419589 0.309113 -1.04439
9	0.125498 0.56334 0.516399 -0.910295
10	0.0116313 0.525306 0.290957 -1.17081
11	0.249983 0.132197 0.724652 -1.03358
12	0.22264 1.25696 0.217335 -0.542179
13	0.209153 0.375245 0.751958 -0.887892
14	0.742817 -0.0134458 1.05558 -0.581682
15	0.125179 1.34137 0.678175 -0.488379
16	0.160563 1.01842 0.210003 -0.717662
17	0.908407 0.163381 0.459396 -0.413873
18	0.550852 0.523075 0.287717 -0.535854
19	0.173017 0.918279 0.232856 -0.733605
20	0.37647 0.501616 0.0899817 -0.795281
21	0.524678 0.753289 -0.0797679 -0.537873
22	0.436217 0.288587 0.978113 -0.61418
23	0.0443752 0.868137 0.148413 -0.970036
24	0.0868873 -0.0316915 1.53205 -1.28307
25	0.28319 1.04562 0.120537 -0.585723
26	0.417582 1.13253 0.160895 -0.382878
27	0.440238 -0.0282918 1.69038 -0.885409
28	0.305201 1.2252 0.380596 -0.419199
29	0.295509 0.449935 0.262914 -0.878754
30	0.0430313 0.583433 0.242369 -1.10748
31	0.493448 0.861035 -0.718779 -0.795001
32	0.8324 0.0673934 -0.594638 -0.929166
33	0.13267 0.390427 -0.0620071 -1.24812
34	0.237681 1.04479 0.120554 -0.625756
35	0.291071 1.24917 0.272132 -0.425436
36	-0.066472 0.681679 0.189037 -1.22039
37	0.536951 -0.0966935 0.385561 -0.983888
38	0.767832 0.440066 0.450066 -0.348179
39	0.577338 0.754014 0.199725 -0.404934
40	0.318337 0.17488 0.829031 -0.895126
41	0.40045 1.10594 -0.22216 -0.557698
