0	0.106461 -0.201274 0.133929 0.0659651 -0.0556442 -0.222556 -0.403625 0.206062 -0.385459 0.0805014 -0.213188 -0.12275 0.0773165 -0.314876 -0.278438 -0.348465 -0.177024 -0.216916 0.0816884 0.176321 -0.0336814 0.0757379 -0.0159034 0.163738 -0.019371 -0.105866 -0.129803 0.0502887 0.0285695 0.00180425 -0.0883615 -0.153989 0.208017 0.0285441 -0.0743935 -0.305254 0.123038 -0.362097 -0.190614 0.196336 0.0183951 -0.366479 0.0675571 -0.139114 0.135383 -0.206084 -0.108961 -0.0782469 -0.116757 0.137966 0.259596 -0.0357914 -0.207596 0.166522 0.163064 -0.00770415 -0.193805 0.0931749 -0.095825 -0.00817164 -0.0717595 0.170267 0.0766295 -0.316303 0.0484996 0.160464 -0.25939 0.411577 0.180139 0.043543 0.0427373 -0.137215 0.00705991 -0.107127 0.0375656 0.039115 -0.00226758 -0.163599 0.143636 0.166003 -0.148469 0.183787 -0.16636 0.169644 0.0934917 -0.0412597 -0.191042 -0.137742 -0.038984 0.186587 0.0242695 0.115013 0.144112 -0.00343506 -0.190579 0.390025 0.144131 -0.00952321 -0.206767 0.192205 0.144363 -0.202958 0.292709 0.0909333 -0.0763664 0.00349858 0.0719656 -0.175963 0.1147 -0.116014 -0.214046 0.0865139 0.0955272 -0.303929 0.079039 -0.00301642 0.0774222 -0.17847 -0.0835372 -0.108897 0.407776 -0.189016 0.206829 0.140607 -0.104857 0.254994 -0.0251886 -0.096902
1	0.117021 -0.0777151 0.189719 0.208615 -0.45726 -0.44888 -0.879546 -0.149116 -0.19601 -0.24915 -0.240227 0.139202 -0.120022 -0.194592 -0.0873 -0.266649 -0.292093 0.145298 0.0517184 -0.0920439 0.0244584 0.118799 -0.00126115 0.0676048 -0.0789589 0.135036 -0.0592568 0.00676563 0.226103 -0.281902 -0.0468719 -0.56988 0.12338 -0.0306473 -0.254624 0.0916408 0.13762 0.0522255 -0.245232 -0.100168 0.0531345 -0.0453472 -0.239149 -0.0630456 0.0234216 -0.446185 0.00946019 -0.204833 0.0976134 -0.039455 0.137443 0.159302 0.203478 0.236502 -0.0917439 0.236698 0.0486853 -0.204977 0.0506817 -0.0526112 0.0843162 -0.238738 -0.118328 0.0647354 0.247045 0.116191 -0.267686 0.0733944 0.106305 0.292 0.0943497 0.0890255 0.122221 0.156319 -0.0337301 0.217244 0.301585 0.184155 -0.0128061 -0.159183 -0.0280159 0.246656 -0.0927828 -0.104171 0.131573 0.0472741 -0.470432 -0.0466909 -0.0853078 -0.133813 -0.150992 -0.303401 0.0218046 -0.246739 -0.240906 0.0947597 0.114996 0.20404 -0.330132 0.0279701 -0.370225 -0.405587 0.320217 0.295993 0.0714399 0.227183 0.226959 -0.118157 -0.147139 -0.12951 -0.265521 0.212931 -0.273095 0.227608 0.0554155 -0.0445834 -0.230778 0.269044 -0.0293533 0.208072 0.00578841 -0.197719 -0.206223 -0.182583 -0.197302 0.238702 0.0481517 -0.239719
2	-0.148711 0.202089 0.141887 -0.152319 -0.188711 -0.0828012 -0.0631976 0.240673 -0.296612 0.125693 0.0478137 0.400333 0.0314995 -0.0376116 0.0423076 -0.00308435 0.112053 -0.0107796 -0.0387875 0.345291 -0.0722591 0.470662 -0.267133 0.471272 -0.139385 0.0308789 0.145493 0.280491 -0.0173038 -0.523195 0.00480727 -0.235724 -0.0313749 0.312317 -0.00935995 0.0945309 0.220639 -0.627534 -0.576414 0.0752368 -0.0753468 -0.0637701 0.251275 -0.0101273 0.0781118 -0.359527 -0.111336 -0.155477 -0.490175 -0.111828 0.440717 0.1645 -0.0904126 -0.219077 0.0491989 -0.0924418 0.116223 -0.158756 -0.0143933 -0.217054 0.311157 -0.183591 -0.0195203 -0.44511 -0.115779 0.0093073 -0.181238 0.173965 -0.0679068 0.217985 0.130062 -0.101124 0.125908 0.556676 -0.233026 0.416599 0.045821 0.229889 -0.132527 0.135786 -0.124749 -0.0422142 -0.0215956 0.206705 -0.281203 0.0964722 -0.155322 -0.24619 -0.319076 0.302631 -0.212749 -0.180679 -0.0720962 0.229148 0.117846 0.25958 0.407483 0.203644 -0.085269 -0.00416126 -0.019644 -0.118553 0.145498 0.030303 0.212832 0.252718 -0.271879 -0.289682 0.0808659 0.318388 0.0648826 -0.0459951 0.0488407 0.0451406 -0.143339 0.147087 -0.0261811 -0.0826091 0.0515915 -0.135559 0.091883 -0.324133 -0.168786 0.162631 0.154012 0.233857 0.0788358 -0.0569125
3	-0.0631883 -0.00777281 0.234356 -0.136366 -0.304521 -0.0694885 -0.284843 0.385725 -0.42091 0.085528 -0.285184 -0.0684778 -0.348123 -0.146766 0.0450698 -0.0722824 -0.366596 0.274571 -0.270679 -0.12143 -0.139434 0.486067 -0.229018 -0.0978716 0.159152 0.0946809 0.167665 0.294607 0.33901 0.263608 -0.321765 -0.126087 0.24016 -0.0735065 -0.131136 0.248512 0.0537902 -0.0379529 -0.448097 0.279674 0.18789 -0.0549564 0.0457681 0.0667916 0.189275 -0.129205 -0.14125 -0.47413 -0.236505 0.0583014 0.471897 -0.0643186 -0.0576698 0.0391392 -0.169282 -0.0130986 0.0684502 0.147233 0.0327183 0.0195603 -0.198546 0.00602989 0.20238 -0.0813875 -0.0410423 0.191262 0.146606 0.318959 -0.107175 -0.419152 -0.273478 0.181839 -0.307921 0.10099 -0.0896964 0.38728 -0.00152523 0.198584 0.0344231 0.229369 0.00459517 -0.281565 -0.268595 0.240818 0.233217 -0.0859137 0.0224258 -0.327254 -0.433413 0.0933867 -0.163489 -0.218151 -0.242438 0.0779474 0.100563 -0.0447156 -0.347036 0.149085 -0.426391 0.172153 0.205404 -0.15746 0.177993 0.170614 0.174778 -0.113349 -0.257689 0.0671481 -0.303972 -0.102498 -0.206452 -0.109421 -0.146463 -0.162913 0.0316605 0.586703 -0.034137 -0.117163 0.018019 -0.0979518 0.110102 -0.442555 -0.242315 -0.116651 -0.385609 0.187242 -0.369953 0.220793
4	0.124389 -0.166373 0.0560794 -0.00189989 -0.105426 -0.100617 -0.258022 0.318262 -0.208414 0.0871232 0.0727402 0.311398 0.000867103 -0.191204 -0.0439435 -0.274647 0.0772887 -0.149924 0.217184 0.113636 0.26365 0.23401 0.0350982 0.109326 -0.0784726 -0.244 0.180017 -0.0817496 0.30338 -0.179555 -0.0662146 -0.172473 0.202303 0.0365523 0.0495546 0.0639921 0.157884 -0.253059 -0.454103 0.193114 -0.0928171 -0.323777 -0.221405 -0.0159099 0.192305 -0.0378529 0.0221664 -0.151218 0.0323136 -0.19962 0.327239 0.0539299 -0.197641 0.114229 0.103015 0.166071 -0.282137 -0.0287025 -0.157298 0.0556994 0.0294593 0.0420169 0.0997351 -0.112469 0.128814 0.280915 0.102581 0.27768 0.202143 0.462711 0.362977 -0.338688 0.144162 -0.0458461 -0.0785023 0.0671639 0.0133142 -0.172608 0.106422 0.315273 -0.035068 0.109318 -0.127318 0.185472 0.00210713 0.0104657 -0.0602487 -0.224697 -0.287151 0.0480632 0.0255107 -0.0135699 -0.293443 0.221024 0.00595212 0.247625 0.0896733 0.212238 -0.277642 0.0583309 -0.00130142 -0.264441 0.427481 0.168533 0.0478911 -0.000279723 0.141618 -0.221627 0.180343 -0.0923659 -0.0537529 0.3154 -0.0253994 -0.291962 0.167544 0.0101919 -0.0428449 0.0251222 -0.151102 -0.160368 0.0820164 -0.0597108 0.0403433 -0.0388931 -0.0276918 0.299893 -0.255004 -0.0420097
5	0.0421372 -0.0718079 0.103213 0.0609683 -0.423667 -0.0852365 -0.124845 0.134538 -0.0151796 0.0539221 -0.321723 -0.0546745 0.317971 0.132459 -0.21463 -0.160392 -0.0389979 0.0801478 0.138947 0.0926312 0.402315 0.144774 -0.0927848 0.319711 -0.124354 0.0782525 -0.0290658 0.0950388 0.0159568 -0.04737 0.107167 -0.200204 0.0859572 0.087105 0.0537305 0.317979 0.0914023 -0.505805 -0.114517 0.101407 0.0886939 -0.162826 -0.0647634 -0.0366612 0.28965 -0.418921 -0.0467097 -0.338877 -0.359763 -0.0309962 0.116425 -0.218997 -0.146674 0.3562 -0.204151 -0.381996 0.29518 -0.0593431 0.0595627 -0.0214816 -0.29132 0.198643 0.176739 -0.12722 0.15528 0.351626 0.031984 0.555284 0.0923991 -0.227955 0.141025 -0.316606 0.166148 0.0431189 0.288552 0.148006 0.10578 -0.156685 0.378905 0.0435248 -0.189535 0.194462 0.0846995 0.0788123 0.196146 0.0936876 -0.124042 0.0671161 -0.0886607 0.151887 0.269063 0.109143 -0.120816 0.114266 0.234552 0.0500953 0.622759 -0.259555 -0.224851 0.307427 -0.105055 -0.0925492 0.291955 -0.0558532 0.342811 0.0628746 0.015983 -0.271093 0.0231625 -0.384745 -0.0817528 0.108057 0.0598706 0.0988849 -0.0298951 0.0279379 -0.0498301 -0.0856443 -0.129993 -0.0632201 0.0472118 -0.210678 0.113389 -0.16839 -0.00952825 0.225289 -0.374423 0.240844
6	0.152706 -0.120728 0.103529 0.012195 -0.236881 -0.0721111 -0.0723615 0.0759566 -0.259024 0.210908 -0.136706 0.148943 -0.173557 0.0828351 -0.121346 -0.159126 -0.101936 0.12123 0.0306844 0.404488 0.0586171 0.195595 0.138779 0.347252 0.104324 -0.103538 0.139816 0.0879744 0.00847324 0.327177 0.065295 -0.377098 0.0408508 0.069083 -0.229553 0.362532 0.353054 -0.0646723 -0.0915406 0.22453 -0.210678 0.0821916 -0.448742 -0.516506 0.00682518 0.147176 -0.104728 -0.117496 -0.165908 0.379454 0.263831 -0.0498878 0.258182 -0.102698 0.262385 -0.132868 0.436222 -0.0323749 0.237678 0.0559962 -0.121109 0.0178365 -0.179671 -0.158191 -0.318684 0.156624 0.0170884 0.0882743 0.292577 0.2362 -0.184983 -0.166518 -0.139476 -0.157731 -0.146913 0.195082 0.082245 0.306922 0.102468 0.286338 -0.195023 0.225478 0.0276596 0.178339 0.035173 0.264654 -0.0314818 0.0667585 -0.450186 0.329521 -0.355636 -0.133952 -0.159356 0.125605 -0.14388 0.190259 0.197569 0.093645 0.0261501 0.449448 0.0893181 -0.315333 0.295135 0.19802 0.0114867 0.169143 0.172504 -0.268251 0.013634 0.104674 0.0775579 0.178425 0.0378408 -0.0746182 -0.279023 0.163716 0.196179 -0.318175 -0.0922892 -0.227937 0.300095 0.0882806 -0.0118549 0.389929 -0.0748944 0.383394 -0.335883 0.105757
7	-0.00656824 0.129371 0.183929 0.0257863 -0.152351 -0.107022 -0.134292 0.017364 -0.187565 0.204416 -0.334296 -0.0112388 0.26059 0.0513536 -0.12368 -0.0552821 -0.148324 0.269164 0.0909183 0.238411 -0.0409783 0.397539 -0.206199 0.00093056 -0.0735752 -0.682214 0.416453 0.207855 0.245398 -0.00193739 0.0991336 -0.211304 0.194345 0.0591374 0.145223 -0.258059 -0.0126669 -0.278789 -0.0244212 0.16731 0.121058 -0.172518 -0.0591195 -0.224041 0.152087 -0.139008 0.239535 -0.188688 -0.130421 -0.0415779 0.110696 -0.213587 0.0483631 0.148479 0.0295372 0.0276915 0.175064 -0.0768284 0.267416 -0.0236842 -0.248474 0.154217 0.0819 -0.0194596 0.248113 0.437357 -0.389773 -0.117112 0.289881 0.248011 0.0577083 -0.00769752 0.275288 -0.0522719 0.040388 0.152399 0.100439 0.0605418 0.154928 0.422348 0.0026932 0.131256 0.101959 0.113783 -0.106792 -0.110915 -0.283469 -0.242104 -0.111887 0.403103 -0.0770372 0.0340536 -0.0241655 0.170204 0.0207899 -0.222091 0.0974084 0.310469 -0.0903856 0.193307 0.00480615 0.0449601 0.0123439 -0.230038 0.233104 0.0656491 0.0891768 -0.389825 0.179656 0.0216112 -0.402981 0.242945 -0.323905 -0.221523 -0.0816578 -0.00804232 0.118204 -0.160428 0.200837 -0.299655 0.273417 -0.0165602 -0.191468 -0.33817 0.026455 0.22541 -0.0258228 0.121574
8	-0.0408754 0.243826 -0.0734556 -0.28155 -0.239546 -0.36943 0.0720204 0.151994 -0.203108 0.107597 -0.0183105 0.154992 -0.0219241 0.158335 -0.278433 -0.32467 -0.399287 0.0992854 -0.142516 0.0909092 0.115741 0.156927 0.30919 0.612161 0.0445758 -0.563931 -0.195208 -0.603656 -0.272214 -0.328082 -0.195377 -0.0778115 -0.265056 0.0149766 0.117986 0.521489 -0.0147533 -0.213633 -0.399632 0.198003 -0.562127 0.0921681 0.104881 -0.396956 -0.231647 -0.386859 -0.252444 0.0866121 -0.484087 0.193237 0.454618 -0.0716323 0.0221651 0.276619 0.218987 0.21853 0.217869 -0.310241 0.294423 0.0304427 0.273523 -0.128123 -0.0502782 -0.169778 0.239524 0.0481389 -0.191999 0.267309 0.209685 0.0979535 0.0848273 -0.0587034 -0.268926 -0.360344 -0.0650667 0.378399 0.228367 -0.0105005 0.225889 0.0706144 0.173013 -0.0761711 -0.02211 0.302634 0.460652 -0.0605455 -0.145355 -0.161724 -0.330537 0.0463415 0.0304058 0.175051 0.103052 0.166658 -0.224377 0.113208 0.10275 0.0352316 -0.462115 0.150609 0.0653522 0.328026 0.325305 0.302995 -0.118913 0.0273464 -0.132194 -0.358116 0.269711 0.0410768 -0.430951 -0.146215 -0.262799 -0.125082 -0.0191593 0.0903214 0.137566 0.105691 0.0626409 -0.0845482 0.251351 0.0552492 0.133443 -0.347906 0.0866759 0.192775 0.0235632 -0.328488
9	-0.181173 -0.0427582 0.125453 0.0989636 -0.149739 0.0143176 0.00700524 0.1893 -0.224103 -0.300197 -0.35944 0.167568 0.0766269 -0.217373 -0.0542779 0.0674148 -0.278421 0.247635 -0.276825 0.247036 0.24823 0.248596 -0.127726 0.0101607 -0.103435 -0.128087 0.208294 -0.00743298 0.232065 -0.153125 -0.118307 0.109674 0.0383534 -0.156532 0.236078 0.215402 0.299848 -0.0863065 -0.178422 0.384219 0.0277494 -0.273919 0.113219 -0.281736 0.159023 -0.596122 0.068909 -0.404209 0.0617913 0.398065 0.283777 0.136239 0.0138215 0.255503 0.0882409 -0.149236 0.291375 -0.248031 -0.100383 0.268632 0.327691 -0.121211 -0.163361 -0.210362 0.253544 0.0801422 0.190394 0.366319 -0.0715949 0.066205 0.318431 -0.0497651 0.00827945 -0.422091 -0.0485689 0.14901 0.107697 0.105789 0.217551 0.426392 0.286816 -0.0937646 0.0604166 0.560238 0.0422575 0.246411 -0.0998434 0.0222376 -0.757174 -0.102973 -0.22661 0.0191441 0.218814 0.29522 -0.166122 0.124895 -0.313358 0.201601 -0.121043 -0.015263 -0.0306244 -0.137086 0.362558 -0.196466 0.187383 0.0253658 -0.258475 0.0595572 0.0624736 -0.135597 -0.312488 0.125023 -0.144016 -0.202813 -0.121712 0.163135 0.215449 0.0661748 0.0466575 -0.137091 0.023371 -0.070191 -0.13242 -0.130288 -0.0232549 0.219538 -0.297318 0.219894
