0	0.119466 -0.00167963 -0.0100419 -0.34768 -0.11141 -0.194391 -0.227025 0.265465 -0.256364 -0.144862 -0.201504 -0.259735 -0.0231989 -0.219537 -0.356864 -0.245884 -0.0975166 -0.280691 -0.0467756 0.189156 -0.0508059 0.139592 0.0410849 0.282847 0.0828746 -0.117361 -0.0487821 0.0498272 0.0363623 0.136442 -0.0659485 -0.0727705 0.23538 0.0174028 -0.151602 -0.268329 0.0175012 -0.240817 -0.159485 0.0954141 -0.0240037 -0.223511 -0.0585588 -0.0422711 0.0720152 -0.0403358 0.0575148 -0.0742481 -0.260205 0.018126 0.104849 -0.155449 -0.12444 0.222539 0.102688 -0.271191 -0.0153477 -0.00814301 -0.0245261 -0.0373094 -0.170265 0.0142297 0.247277 -0.249435 0.0778326 0.247973 -0.154441 0.351208 0.0586203 -0.0348056 0.0716461 -0.0177695 0.164301 -0.193287 -0.0499279 -0.0730012 -0.078206 -0.0191653 0.130336 0.233464 0.075438 0.0782676 -0.312208 0.260226 -0.0272545 -0.13308 -0.0962206 -0.294585 -0.0398387 0.196411 0.0928808 0.00576813 -0.00238099 -0.0967206 -0.170343 0.13645 0.377029 0.133433 -0.269607 0.0328925 0.252237 -0.222757 0.136386 0.118541 -0.0201975 -0.112246 -0.194241 -0.291803 0.102886 -0.0241 -0.244125 0.146849 0.238158 -0.17695 0.0589843 -0.10204 -0.0934185 0.0738336 0.0714247 -0.137283 0.380721 -0.34169 0.432387 0.239321 -0.0428069 0.263721 -0.108774 -0.0988426
1	0.023497 -0.0269921 0.159113 -0.167242 -0.207174 -0.439454 -0.593484 -0.188232 -0.0873838 -0.373247 0.094925 -0.0696572 -0.174152 -0.052357 0.359069 -0.276497 -0.3225 0.181529 0.134969 0.149095 -0.389551 0.00381549 -0.0509094 0.164594 0.0723452 0.155133 0.400526 0.229999 0.259541 -0.0316445 -0.0819205 -0.47303 0.0657939 0.17861 -0.270505 0.0757826 0.231177 0.150079 -0.363266 -0.00131089 0.298865 -0.097683 -0.0301932 -0.168142 -0.0300251 -0.286181 0.0525059 -0.256979 -0.147143 -0.0976457 0.266738 -0.0355097 0.236216 0.235226 -0.0422128 -0.0502624 -0.0251388 0.0479367 -0.141661 -0.0652636 -0.122281 -0.21712 0.155886 0.0209854 0.147772 0.169892 -0.131419 0.0834252 -0.039278 0.328876 -0.0305634 0.055783 0.0200254 0.153247 0.243533 0.140785 -0.127019 0.376921 0.0333917 -0.13225 0.0907446 0.129054 -0.0406213 -0.169412 0.110517 -0.0767788 -0.269488 0.192503 -0.0813845 -0.13587 0.0370447 -0.568401 0.178101 -0.162931 -0.0341996 -0.00713085 0.141306 0.0597086 -0.427078 0.00426861 -0.378366 -0.212296 0.326563 0.384611 0.141631 0.173599 0.0601265 -0.105691 0.0145156 -0.0851517 -0.419265 0.251603 0.00872443 0.00792661 0.0672088 -0.01572 -0.107986 0.149153 0.043033 0.430258 0.0956986 -0.389217 0.118779 -0.111465 -0.0734282 0.207608 -0.137109 -0.148293
2	0.228871 0.113125 0.0483424 -0.568088 -0.188217 0.0477927 0.0613168 0.336873 -0.274411 -0.0669706 -0.0229193 0.16956 -0.168812 0.134576 0.0597619 0.104068 -0.100346 -0.223083 0.0609734 0.200993 -0.129631 0.297279 -0.0518037 0.596531 -0.242067 0.0625767 0.0915871 0.307193 0.223542 -0.384264 0.0176211 -0.0662069 -0.215199 0.268725 0.299139 -0.0539286 0.22077 -0.287006 -0.497135 0.176093 -0.0394707 -0.111226 0.328861 0.0869615 0.294848 -0.292474 -0.165183 -0.176067 -0.21414 -0.123855 0.389222 0.208776 0.021913 -0.236326 -0.0353111 -0.320665 -0.045172 0.0890022 0.101504 -0.142001 0.12957 -0.192045 -0.00460905 -0.407687 7.8659e-06 0.178878 -0.103668 -0.00990808 -0.196417 0.163462 0.178543 0.0173121 0.224054 0.595256 -0.120616 0.0737365 -0.0542543 0.26202 -0.0881844 0.163333 -0.105957 -0.0899217 -0.161046 0.0558123 -0.0991613 0.184985 -0.125972 -0.179869 -0.357608 0.0511049 0.0525631 -0.294247 0.087719 -0.0580493 0.259756 -0.129579 0.430015 0.2298 -0.337128 -0.168158 0.0249731 -0.117592 0.10483 0.134003 0.0554103 0.165526 -0.130972 -0.429832 -0.0716368 0.0434411 -0.171956 0.0366577 0.0445598 0.120682 -0.142551 0.224842 0.0379241 0.0681949 0.164648 -0.146609 0.250213 -0.173432 -0.098474 0.123093 0.321142 0.227883 -0.0498204 0.0233545
3	0.289501 -0.357792 0.662977 -0.35126 -0.0470197 -0.0235402 -0.261143 0.221696 -0.0571464 -0.140689 0.0412992 0.342526 -0.367704 -0.148835 0.17766 0.118312 -0.548252 0.273658 -0.193466 -0.0961948 -0.239578 0.389855 -0.312983 -0.124296 0.318263 -0.304082 0.194734 0.260177 0.352561 0.364487 0.188184 -0.167539 0.520732 -0.0363693 0.221676 0.2299 0.0733737 -0.116496 -0.317158 0.539685 0.298661 -0.190475 0.164185 0.15299 0.0596277 -0.137547 0.0953433 -0.396329 -0.0515553 -0.158692 0.320572 -0.0738235 0.162916 0.392185 -0.353009 -0.073996 -0.147805 0.122003 0.122448 0.0740244 -0.122192 0.0779972 0.421561 -0.30563 -0.125622 0.035517 0.272264 0.284589 -0.142533 -0.359014 -0.176316 0.183179 -0.047089 0.0250324 -0.137333 0.304951 0.0475904 0.133973 0.176004 0.352035 0.01938 -0.375939 -0.349361 0.222261 0.26736 0.141233 0.128927 -0.439644 -0.346057 -0.101433 0.0658683 -0.177574 -0.0261577 0.144031 0.0767224 0.0798965 -0.281104 -0.0951264 -0.4719 0.172422 -0.102116 0.0268442 -0.0441433 0.344851 0.312008 -0.0789692 -0.0785661 0.000937814 -0.0466482 -0.110304 -0.0862711 0.0605154 0.103428 -0.0693275 -0.166359 0.55023 0.158297 -0.215411 -0.0130231 -0.0498776 -0.214097 -0.503525 -0.0776417 -0.0660207 -0.353904 0.593865 -0.245444 0.701633
4	0.164216 0.0261395 -0.0730496 -0.276473 -0.33426 0.0153256 -0.195166 0.429719 -0.210474 -0.211784 0.030723 0.266557 -0.0305713 -0.21665 -0.193276 -0.255223 -0.00581204 -0.0117062 0.0323545 0.254231 0.281282 0.107599 0.216993 0.0868412 0.0467349 -0.146255 0.262338 0.206166 0.114786 -0.0815997 -0.112826 -0.144207 0.0459938 -0.000862322 -0.0592156 -0.00983674 -0.0870014 0.018457 -0.325025 0.219432 -0.182082 -0.134815 -0.149547 0.131434 0.127508 -0.0160976 0.119996 -0.31969 -0.156077 -0.0464309 0.278496 -0.223002 -0.0396037 0.128395 0.0980983 -0.158801 -0.153085 0.147678 -0.102231 0.0450436 -0.166323 -0.0778323 0.213858 -0.183082 0.208181 0.283754 -0.000622385 0.370695 -0.0182301 0.317751 0.208368 -0.110999 0.187435 0.0344145 -0.278695 0.0384297 -0.065164 0.075864 0.00442447 0.336774 0.11356 0.075425 -0.287715 0.143354 -0.182203 -0.0165628 -0.0326914 -0.0632567 -0.303798 -0.0261814 0.113246 -0.171448 -0.0751867 -0.0779654 -0.117794 0.116149 0.297768 0.332333 -0.328103 0.113432 -0.00424831 -0.18354 0.0499895 0.0390894 0.0288022 -0.217215 0.181672 -0.257337 0.230506 0.21351 -0.10886 0.172697 0.0517542 -0.00947345 0.184946 -0.0617164 -0.114288 0.201681 0.144492 -0.0215494 -0.0261004 -0.314153 0.0480889 0.00542595 0.0797688 0.134264 -0.44849 -0.0107102
5	0.123087 -0.0472894 -0.0150304 -0.151932 -0.286618 -0.161184 -0.24192 0.0228833 -0.00797837 -0.278468 -0.129947 -0.0937598 0.195702 0.260877 -0.154052 -0.13699 -0.226636 0.107597 0.0689923 0.0964084 0.460187 0.187984 0.0970023 -0.0491567 -0.00211615 -0.00815164 -0.0105935 0.0925425 -0.0610898 0.0308283 -0.0108803 -0.254052 0.249606 0.262828 0.0483421 0.0212787 0.0243937 -0.352037 0.011596 0.368053 -0.160755 -0.231993 -0.129779 -0.00862274 0.337 -0.335214 0.0161283 -0.150447 -0.199256 -0.267481 0.193991 -0.500855 -0.143857 0.118424 -0.326138 -0.331864 0.128994 -0.0194914 0.14737 -0.0822171 -0.236159 0.0543931 0.110516 -0.0850784 0.0548423 0.428879 -0.0961983 0.519775 0.056457 -0.12362 -0.101571 -0.103768 0.209061 -0.0631513 0.0443502 0.065684 0.112545 -0.00581622 0.273561 0.162539 -0.0719295 0.0838074 -0.254877 0.191547 0.0662212 -0.0764094 -0.15958 0.0206189 -0.285507 -0.113836 0.177645 -0.0106456 -0.209853 -0.121531 0.0259007 -0.293409 0.407092 -0.344884 -0.233428 0.247866 0.0753634 0.0569916 0.398603 0.00206767 0.307975 -0.0506823 -0.093749 -0.253424 0.112755 -0.232661 -0.117702 0.0549797 0.156758 0.182308 0.0732222 0.0801245 0.0462819 0.0837583 0.171887 -0.142847 0.0493369 -0.245326 0.177593 -0.0378953 0.323149 -0.129461 -0.259784 0.0884157
6	0.371757 -0.091824 0.0266304 -0.257121 -0.212264 0.210743 -0.150593 0.49651 -0.196235 0.116531 0.0355666 0.0306528 -0.100318 0.254535 -0.0284532 -0.1201 -0.210239 -0.0264008 -0.0312544 0.421602 0.342925 0.22948 0.175666 0.270854 -0.031691 -0.0595366 0.181934 -0.164764 -0.069909 0.128229 0.0078117 -0.414518 0.172047 0.232199 -0.288199 0.187636 0.268068 -0.140107 -0.199916 0.122836 -0.198317 -0.132729 -0.240309 -0.450046 0.221434 -0.0596852 0.00411615 0.0636055 -0.291341 0.143094 0.342574 -0.0330222 0.302805 0.118613 0.119824 -0.0854402 0.273543 -0.221078 0.208532 0.00725065 0.0104883 -0.0187979 -0.0411661 -0.469809 -0.237311 0.247995 -0.012357 0.193967 0.0374538 0.443785 -0.165489 -0.0403734 -0.120442 -0.14981 0.0621421 0.286624 0.200953 0.21485 0.00653634 0.103641 -0.0878286 0.0694615 -0.0307587 0.146687 0.0845524 0.238925 0.0385877 0.10514 -0.45356 0.117783 -0.0396323 -0.298686 -0.0106931 -0.128814 -0.266778 -0.118679 -0.0523151 -0.0216014 -0.245029 0.26583 0.214842 -0.292905 0.32717 0.0616095 0.0735387 0.143052 0.0497459 -0.216807 -0.152082 0.120428 0.0945887 0.11747 0.16675 -0.0286318 -0.229638 0.192817 0.163196 -0.152202 0.0193214 -0.075248 0.41949 -0.107651 0.0678516 0.293093 0.00349056 0.228383 -0.31468 0.0494976
7	0.181156 0.176833 0.189717 -0.153529 0.00515243 -0.142652 -0.0572325 0.264605 -0.25955 -0.0106011 -0.116854 -0.070234 0.125942 0.164174 -0.0688053 -0.237045 -0.246968 0.274364 0.220392 0.182902 0.173534 0.475791 0.0667782 0.108552 -0.201113 -0.693341 0.240413 0.201857 0.303381 -0.114827 0.326932 -0.254403 -0.0041842 0.218162 0.224722 -0.272531 0.184594 -0.353703 0.0862839 0.235431 -0.0547694 -0.0644964 -0.107916 -0.0696619 0.206859 -0.224902 0.167646 -0.245348 -0.19175 -0.246442 0.309001 -0.213494 -0.118445 0.156704 -0.115436 0.0806295 -0.0324493 -0.0314007 -0.00649636 -0.159821 -0.255763 0.16231 0.120414 -0.217998 0.200938 0.211726 -0.105775 -0.0627951 0.130627 0.259048 0.0706532 0.186139 0.397777 -0.0981229 0.117863 0.00106446 0.2556 0.217389 0.156774 0.410766 0.101532 -0.0318394 -0.0951337 0.279342 -0.0447432 -0.0710584 -0.272977 -0.0938384 -0.0215719 0.335981 -0.0285728 -0.000112644 0.142325 -0.10079 -0.0833507 -0.014756 -0.0216566 0.0493724 -0.238495 0.188851 -0.00323154 0.00935695 0.0631113 -0.177668 0.213735 0.0342851 0.163564 -0.219097 -0.0340877 0.00335458 -0.35353 0.176341 0.00935481 -0.0450153 -0.00182047 0.164143 0.184174 -0.085339 -0.0875171 -0.172951 0.166613 -0.0684055 -0.0389425 -0.154519 0.0807209 0.161335 0.114094 0.0703799
8	0.157868 0.125393 0.079568 -0.497501 -0.22701 -0.186623 -0.0925601 0.300607 0.0488983 -0.190787 -0.148015 0.101358 0.151814 0.0375469 -0.223397 -0.156723 -0.414373 0.179663 0.0907158 0.10701 0.168588 0.104453 -0.0199461 0.340236 -0.0902942 -0.282064 0.0868039 -0.236367 -0.0491189 -0.178531 -0.0663603 -0.0572265 -0.186429 0.0858001 -0.0843669 0.23568 0.243763 -0.200194 -0.108074 -0.00481846 -0.181392 -0.0259133 0.404414 -0.490003 -0.167008 -0.0391576 0.120483 -0.148103 -0.137612 0.171218 0.347502 -0.081423 0.174628 0.198565 0.246029 0.133647 0.0444268 -0.136484 0.133247 -0.121598 0.183838 -0.284556 0.179696 -0.222933 0.0817708 0.017825 -0.101868 0.131296 0.111199 0.0205148 -0.125711 -0.0210815 -0.157834 -0.201099 -0.0776214 0.182696 0.201464 0.0688252 -0.119187 0.126865 0.0353891 0.193894 -0.429044 0.0174671 0.248106 -0.0328018 -0.184997 0.0881203 -0.525857 0.0393967 0.117683 0.0120373 0.0290772 0.15091 -0.088167 -0.132912 0.0741754 0.0452543 -0.467571 0.206247 0.0418995 0.11093 0.409749 0.239312 0.0137602 -0.12256 -0.453009 -0.408543 0.323069 -0.0795664 -0.441351 0.0760475 -0.305957 -0.127903 -0.121687 0.0721255 0.0162774 0.0558671 0.291591 -0.0633041 0.14343 -0.0896701 0.0648716 -0.373203 0.0999112 0.154034 -0.147058 -0.175877
9	0.038899 -0.037795 0.18289 -0.319907 -0.186867 0.2813 0.05554 0.0124031 -0.255904 -0.410195 -0.24372 0.1144 0.067375 -0.236545 -0.0951366 -0.0594078 -0.285122 0.0968312 -0.233294 0.061016 0.182147 0.0241921 -0.00941103 0.0453777 -0.00466264 -0.134611 0.227714 0.102284 0.152817 -0.178677 -0.00625396 0.172137 0.099352 0.0351832 0.203779 -0.0458293 0.28668 -0.294576 0.0696223 0.328088 -0.034028 -0.00764028 0.17999 -0.0971748 0.107013 -0.336924 0.231418 -0.484606 0.142477 0.19695 0.357566 -0.0125575 -0.138822 0.335922 -0.0600563 -0.136068 0.216348 -0.24855 -0.174808 0.113954 0.16409 -0.362643 0.0422064 -0.211077 0.283008 0.249631 0.0631668 0.234127 0.00141473 0.152165 0.188784 0.222428 0.023161 -0.332074 -0.0899766 0.200746 -0.024054 0.126756 0.0985952 0.350578 0.42432 -0.0949358 -0.0667912 0.293844 0.000113703 0.120423 -0.11095 -0.327749 -0.664092 -0.155298 -0.0119839 0.149044 0.178907 0.211013 -0.0769253 -0.161668 -0.188279 0.150336 -0.0862657 0.0804946 0.125791 -0.18891 0.151027 -0.108282 0.275189 0.0250108 -0.175156 0.0650892 0.105836 -0.274769 -0.2908 0.30033 -0.0750374 -0.0756371 -0.142463 0.0417609 0.0994001 0.0834836 0.104865 -0.256106 0.0217194 -0.272937 0.00468332 -0.0552769 0.234754 0.356189 -0.484196 0.310295
